Location,Date,Time,VehicleCount,PM2.5,PM10,NO2,Temperature,Humidity
Elm St,2025-01-24,18:45:00,259,72.74,131.78,15.39,26.45,56.51
Elm St,2025-01-02,04:00:00,495,60.31,151.8,62.84,36.13,48.14
Broadway,2025-01-01,23:10:00,17,99.08,14.08,27.35,19.47,60.77
Elm St,2025-01-08,19:01:00,491,20.22,63.76,82.17,33.21,52.02
Park Ave,2025-01-18,18:14:00,227,66.99,34.63,7.89,25.57,32.56
Broadway,2025-01-12,04:12:00,150,119.02,43.2,70.26,39.27,43.7
5th Ave,2025-01-18,12:21:00,347,75.14,81.95,16.0,32.07,48.07
5th Ave,2025-01-10,15:45:00,275,69.34,137.28,80.0,36.88,36.18
Elm St,2025-01-28,07:04:00,289,97.3,112.14,77.57,25.27,47.61
Main St,2025-01-24,16:43:00,378,79.07,198.31,15.18,37.2,34.65
5th Ave,2025-01-27,17:15:00,78,55.17,15.49,7.31,23.53,26.4
Park Ave,2025-01-16,13:39:00,321,19.89,26.7,37.22,32.91,76.12
Park Ave,2025-01-08,14:38:00,311,142.82,22.2,62.91,19.35,74.54
Main St,2025-01-08,14:03:00,417,31.36,75.39,26.71,32.2,72.88
Park Ave,2025-01-22,09:52:00,175,128.94,24.58,54.6,35.28,28.05
Broadway,2025-01-16,07:42:00,168,6.64,65.27,68.87,15.7,69.29
5th Ave,2025-01-23,20:08:00,94,93.72,175.79,75.58,17.93,72.71
Main St,2025-01-29,16:57:00,463,29.98,89.74,95.62,19.61,49.66
Elm St,2025-01-14,06:21:00,177,9.0,164.49,19.99,37.38,67.76
Broadway,2025-01-20,22:04:00,104,13.21,70.78,97.52,35.36,35.86
5th Ave,2025-01-11,19:44:00,454,32.43,173.45,92.83,32.2,26.86
Elm St,2025-01-05,13:54:00,308,42.21,65.48,21.21,20.57,73.15
Park Ave,2025-01-29,02:58:00,410,25.92,92.5,7.62,26.29,31.26
Main St,2025-01-30,22:03:00,368,54.83,52.21,62.79,26.49,56.97
5th Ave,2025-01-25,21:17:00,340,81.59,160.64,11.91,17.2,68.59
Broadway,2025-01-06,14:56:00,96,39.71,77.26,94.05,30.66,21.21
Park Ave,2025-01-01,11:26:00,333,74.63,81.51,90.19,17.54,50.34
Park Ave,2025-01-25,00:55:00,439,82.28,155.77,81.15,30.85,28.1
Broadway,2025-01-09,06:04:00,353,111.83,197.46,91.7,29.29,61.75
Main St,2025-01-04,22:49:00,209,80.17,16.91,44.34,25.23,41.67
Main St,2025-01-17,01:31:00,391,65.76,193.07,19.11,24.57,51.12
Elm St,2025-01-19,09:45:00,421,123.92,185.52,72.84,28.98,22.15
5th Ave,2025-01-23,11:53:00,3,12.86,89.97,40.64,39.6,74.85
Park Ave,2025-01-11,11:23:00,45,41.92,21.28,86.92,16.53,72.21
Broadway,2025-01-22,09:47:00,74,76.54,123.12,78.96,34.63,78.32
5th Ave,2025-01-02,01:14:00,397,56.62,145.89,17.29,32.29,21.22
Main St,2025-01-06,19:02:00,477,148.9,15.18,71.73,36.54,25.23
Main St,2025-01-13,05:50:00,266,87.11,116.17,54.58,15.84,52.25
Broadway,2025-01-09,04:17:00,477,46.72,158.35,59.83,26.91,26.51
Main St,2025-01-24,01:30:00,438,148.66,169.21,71.56,28.08,75.15
5th Ave,2025-01-26,03:01:00,261,47.29,96.48,98.19,36.98,25.38
Main St,2025-01-02,05:11:00,70,134.25,147.96,63.88,23.91,79.36
Park Ave,2025-01-27,23:21:00,267,87.33,66.44,48.25,33.55,54.15
Broadway,2025-01-11,21:10:00,452,15.02,160.84,18.38,31.22,45.72
Main St,2025-01-23,14:54:00,193,121.3,78.78,92.84,21.25,54.81
5th Ave,2025-01-10,21:17:00,216,7.12,191.5,76.75,28.14,21.55
Park Ave,2025-01-08,15:31:00,27,29.86,54.03,90.45,24.47,32.3
Main St,2025-01-04,18:27:00,38,105.63,145.49,40.0,31.2,38.55
Park Ave,2025-01-04,18:32:00,197,132.35,139.53,97.6,34.97,31.8
Elm St,2025-01-03,03:50:00,202,39.78,35.9,73.77,35.39,42.28
Broadway,2025-01-06,08:24:00,7,135.57,118.25,36.19,24.26,48.86
Broadway,2025-01-22,07:35:00,202,40.45,168.12,62.54,21.93,40.1
5th Ave,2025-01-15,10:57:00,7,44.83,64.6,37.57,36.39,22.01
Park Ave,2025-01-01,20:32:00,314,29.72,115.91,82.28,36.1,20.78
Elm St,2025-01-13,05:57:00,366,132.2,130.19,90.96,26.99,74.6
Broadway,2025-01-08,03:48:00,231,54.67,196.61,35.94,21.82,25.61
Elm St,2025-01-03,10:02:00,385,127.48,81.47,68.66,26.96,31.76
Broadway,2025-01-29,14:35:00,198,32.73,54.79,30.25,28.35,66.98
5th Ave,2025-01-22,17:43:00,274,97.57,143.2,56.32,19.46,44.83
Park Ave,2025-01-06,02:49:00,225,30.59,20.26,64.31,18.04,37.87
5th Ave,2025-01-01,11:09:00,222,70.25,102.38,94.31,25.86,50.16
Broadway,2025-01-18,17:55:00,369,106.23,57.71,87.82,34.75,21.13
Main St,2025-01-06,04:01:00,172,71.02,146.54,38.49,36.95,49.7
Main St,2025-01-15,19:59:00,105,64.56,11.06,35.96,38.75,73.76
Broadway,2025-01-06,02:29:00,66,62.88,86.73,72.51,28.45,48.59
Park Ave,2025-01-07,04:27:00,339,95.23,56.36,72.1,15.57,34.14
Main St,2025-01-07,15:22:00,346,43.64,113.78,41.44,37.34,61.13
Main St,2025-01-06,21:42:00,493,61.03,111.19,75.71,21.16,27.22
Main St,2025-01-14,22:31:00,195,13.01,112.38,96.4,27.74,74.3
Main St,2025-01-13,01:43:00,369,17.29,83.63,66.37,39.33,22.55
Park Ave,2025-01-28,04:39:00,291,124.09,103.4,78.44,26.35,29.02
5th Ave,2025-01-01,15:20:00,9,48.19,188.77,49.41,23.52,41.71
Broadway,2025-01-20,09:07:00,261,41.38,132.07,73.26,27.77,42.07
5th Ave,2025-01-06,06:54:00,79,120.53,107.3,98.32,22.2,40.55
Main St,2025-01-07,11:48:00,448,43.07,69.76,58.44,32.11,76.14
Park Ave,2025-01-22,01:00:00,251,146.91,15.81,35.29,25.97,62.14
Broadway,2025-01-23,09:07:00,0,8.5,30.57,71.28,36.67,50.67
Broadway,2025-01-18,13:46:00,122,74.9,136.11,57.0,29.75,22.55
5th Ave,2025-01-23,01:33:00,133,66.36,142.19,57.69,37.92,44.73
Park Ave,2025-01-01,12:14:00,188,49.36,79.56,10.14,15.76,43.27
Main St,2025-01-26,16:14:00,449,143.17,194.36,48.31,36.16,73.5
Elm St,2025-01-02,06:23:00,313,23.8,56.87,47.12,19.79,60.67
Elm St,2025-01-18,12:38:00,217,42.48,107.93,11.08,32.34,40.92
5th Ave,2025-01-05,03:24:00,214,131.58,73.87,22.45,23.69,55.18
5th Ave,2025-01-07,04:15:00,158,134.58,151.41,62.04,25.06,32.83
Elm St,2025-01-25,10:56:00,355,121.38,189.73,5.94,30.25,75.95
Elm St,2025-01-07,20:45:00,371,93.89,16.08,34.53,21.29,50.12
Broadway,2025-01-17,20:23:00,5,90.04,22.91,68.47,35.8,51.11
Broadway,2025-01-29,18:33:00,71,28.44,131.96,78.61,16.96,39.71
Main St,2025-01-30,06:00:00,282,36.21,92.19,56.67,16.41,37.24
Park Ave,2025-01-18,03:11:00,335,116.99,167.64,65.66,25.33,41.71
Main St,2025-01-19,23:30:00,152,136.76,170.46,37.8,37.24,30.17
5th Ave,2025-01-06,16:30:00,413,49.99,40.86,81.9,34.02,76.22
Broadway,2025-01-04,02:59:00,236,23.78,175.05,90.01,29.58,53.87
Broadway,2025-01-24,15:27:00,30,89.18,145.38,89.98,22.33,54.79
Elm St,2025-01-13,17:59:00,141,108.17,139.37,60.47,20.3,49.14
5th Ave,2025-01-21,16:46:00,387,10.51,118.37,32.07,28.79,55.61
Elm St,2025-01-07,13:00:00,273,85.94,28.44,28.7,30.42,65.92
Broadway,2025-01-06,11:47:00,424,96.2,76.63,54.58,29.45,26.08
Elm St,2025-01-29,13:53:00,266,44.28,164.4,57.25,23.91,72.45
5th Ave,2025-01-08,16:27:00,387,57.29,171.08,93.86,33.56,23.26
Park Ave,2025-01-10,23:11:00,229,43.24,51.87,64.15,24.63,51.46
Broadway,2025-01-28,16:49:00,408,88.53,145.5,23.4,17.06,42.59
Park Ave,2025-01-14,00:41:00,425,84.6,154.36,81.11,19.0,24.81
Broadway,2025-01-22,02:58:00,361,133.94,188.91,48.38,22.45,52.66
5th Ave,2025-01-08,18:33:00,337,72.42,109.21,85.52,32.63,35.27
Broadway,2025-01-23,06:38:00,323,37.7,109.59,10.63,31.48,33.76
Main St,2025-01-03,01:28:00,394,118.41,109.8,43.76,27.63,41.96
Broadway,2025-01-29,02:48:00,357,6.61,149.42,89.55,16.1,53.12
Park Ave,2025-01-16,18:04:00,459,132.91,46.09,32.17,24.22,55.83
5th Ave,2025-01-20,22:31:00,485,87.72,32.16,92.83,21.21,77.88
5th Ave,2025-01-14,16:22:00,52,65.86,81.76,12.13,29.53,30.31
Park Ave,2025-01-11,17:38:00,275,67.8,187.82,76.57,31.45,73.02
Elm St,2025-01-11,19:48:00,263,110.29,132.17,51.81,34.93,75.13
5th Ave,2025-01-25,22:55:00,127,7.59,11.82,56.55,22.89,52.56
5th Ave,2025-01-02,12:59:00,487,68.3,151.22,60.34,19.58,72.51
Park Ave,2025-01-16,20:39:00,436,51.21,130.7,47.2,32.64,60.46
Main St,2025-01-14,06:49:00,243,82.56,33.15,35.53,31.55,62.95
5th Ave,2025-01-16,02:24:00,210,34.63,68.04,41.86,25.45,35.26
Main St,2025-01-27,16:45:00,84,118.17,181.73,26.76,20.62,31.8
5th Ave,2025-01-12,14:46:00,9,37.59,113.61,40.1,31.62,43.76
Broadway,2025-01-11,15:40:00,88,8.7,80.26,40.0,25.69,72.15
Main St,2025-01-03,23:44:00,248,57.94,16.2,12.38,18.51,30.31
Main St,2025-01-22,12:10:00,369,97.08,47.46,77.5,29.81,75.69
Park Ave,2025-01-14,23:00:00,149,20.87,73.4,62.0,28.62,78.77
Elm St,2025-01-05,19:48:00,186,110.55,183.95,8.85,20.55,24.05
Park Ave,2025-01-20,20:10:00,298,70.1,197.51,62.89,37.26,44.98
Park Ave,2025-01-21,02:49:00,471,119.19,90.15,50.58,17.9,74.64
Broadway,2025-01-14,21:28:00,397,72.68,195.22,75.31,19.76,66.9
Main St,2025-01-12,10:22:00,495,116.83,186.0,82.01,35.3,69.01
Main St,2025-01-19,10:15:00,282,95.4,189.42,79.73,36.49,23.64
5th Ave,2025-01-09,17:19:00,314,108.76,133.61,25.29,29.89,26.0
Broadway,2025-01-02,22:32:00,110,42.52,135.62,43.68,37.87,41.91
Main St,2025-01-29,03:18:00,217,142.5,131.92,35.48,35.37,70.38
5th Ave,2025-01-28,16:48:00,277,15.39,14.01,81.26,34.08,35.52
Elm St,2025-01-03,04:43:00,94,120.98,18.48,63.38,35.28,49.84
5th Ave,2025-01-27,01:23:00,71,134.13,178.79,77.33,38.25,64.58
Main St,2025-01-16,23:19:00,406,125.86,22.35,67.51,24.69,70.82
Park Ave,2025-01-10,01:34:00,466,122.43,48.52,73.62,31.62,73.71
Main St,2025-01-09,18:07:00,176,125.83,102.81,67.67,18.02,78.61
Broadway,2025-01-10,05:48:00,279,72.33,99.04,64.58,19.35,38.41
Park Ave,2025-01-03,19:18:00,30,133.46,174.19,77.04,37.62,71.47
5th Ave,2025-01-07,23:08:00,408,48.07,127.77,30.54,37.83,63.27
Elm St,2025-01-16,13:34:00,261,41.09,87.23,96.19,16.26,22.86
Park Ave,2025-01-15,20:27:00,318,147.66,80.08,53.4,33.12,48.91
Broadway,2025-01-05,12:55:00,494,5.53,64.01,36.23,27.71,37.52
Broadway,2025-01-10,16:06:00,30,9.42,170.87,90.26,19.93,58.99
Park Ave,2025-01-18,00:12:00,195,28.48,71.96,69.74,24.07,56.51
Park Ave,2025-01-30,05:52:00,359,79.94,17.91,94.59,26.05,75.6
Elm St,2025-01-24,00:46:00,467,44.98,86.07,82.36,16.3,20.95
5th Ave,2025-01-27,14:57:00,457,52.85,191.39,65.98,26.55,44.39
Broadway,2025-01-12,01:20:00,29,18.17,10.33,68.39,39.06,53.09
Broadway,2025-01-25,20:24:00,115,44.6,117.86,12.7,19.4,26.19
Main St,2025-01-05,01:46:00,312,123.48,81.02,77.74,17.03,22.48
Broadway,2025-01-20,16:53:00,38,100.72,173.9,15.2,28.19,38.35
Elm St,2025-01-04,05:02:00,91,109.72,191.2,75.92,39.17,23.72
Broadway,2025-01-08,15:00:00,451,111.8,32.93,73.59,35.44,53.57
Broadway,2025-01-25,18:37:00,412,52.71,173.26,37.19,35.08,51.92
Main St,2025-01-13,00:11:00,100,29.03,69.33,25.19,15.41,53.0
Park Ave,2025-01-26,09:35:00,57,112.41,157.83,41.67,29.33,31.13
5th Ave,2025-01-28,00:24:00,462,102.56,162.66,15.76,31.85,55.03
5th Ave,2025-01-28,00:03:00,354,36.08,122.97,95.38,24.74,57.04
Park Ave,2025-01-29,12:30:00,251,45.44,101.8,94.25,25.63,64.26
Broadway,2025-01-29,03:58:00,314,107.82,99.73,96.41,29.89,35.35
Main St,2025-01-30,18:41:00,170,66.36,38.71,21.66,24.44,50.16
5th Ave,2025-01-01,19:58:00,394,14.94,122.02,63.17,15.65,78.55
5th Ave,2025-01-24,22:41:00,451,33.68,188.94,64.4,23.3,36.36
Elm St,2025-01-14,21:34:00,323,7.52,165.04,5.87,16.45,28.98
Broadway,2025-01-17,12:03:00,159,19.29,140.97,91.8,29.97,32.01
Park Ave,2025-01-10,21:45:00,252,24.59,126.38,43.52,27.51,29.25
5th Ave,2025-01-04,05:24:00,203,20.45,82.79,87.27,36.43,29.72
5th Ave,2025-01-21,16:38:00,445,97.81,57.7,8.56,29.9,61.0
Elm St,2025-01-30,16:10:00,278,67.04,123.21,39.7,33.68,22.24
Broadway,2025-01-17,03:34:00,94,15.43,131.38,22.29,18.39,25.3
Elm St,2025-01-03,07:22:00,460,70.41,162.41,82.32,38.1,63.65
Elm St,2025-01-16,16:39:00,233,87.79,67.24,15.27,37.04,74.05
Main St,2025-01-02,22:13:00,74,59.97,101.81,29.92,37.66,43.27
Park Ave,2025-01-17,22:36:00,65,22.24,146.55,43.28,24.76,48.13
Main St,2025-01-08,08:16:00,350,95.98,193.15,97.99,20.52,28.25
5th Ave,2025-01-24,09:10:00,402,38.44,131.66,72.74,15.02,63.8
Elm St,2025-01-01,08:00:00,238,120.38,15.03,86.79,15.65,52.4
5th Ave,2025-01-15,16:16:00,391,61.28,14.95,36.51,27.76,34.62
Main St,2025-01-28,17:00:00,94,67.38,62.05,8.55,19.4,58.38
5th Ave,2025-01-07,12:35:00,124,124.35,154.3,80.39,27.69,70.67
Broadway,2025-01-01,04:26:00,490,88.51,105.23,30.84,24.76,27.53
Main St,2025-01-16,16:04:00,445,62.34,152.14,78.58,28.4,40.68
Broadway,2025-01-03,09:06:00,382,36.78,141.97,61.05,27.24,52.12
Main St,2025-01-04,23:15:00,7,110.07,34.77,55.21,16.46,56.42
Elm St,2025-01-07,23:29:00,188,27.45,102.06,62.57,36.18,48.1
Elm St,2025-01-13,12:32:00,416,24.31,180.63,82.41,18.55,53.06
5th Ave,2025-01-30,05:55:00,59,108.0,146.43,50.8,17.94,35.27
Park Ave,2025-01-13,10:03:00,432,72.69,117.39,20.13,20.63,70.82
Park Ave,2025-01-14,10:46:00,413,71.3,82.84,97.02,33.51,27.91
Broadway,2025-01-18,16:45:00,57,129.55,94.66,19.43,26.1,76.8
Broadway,2025-01-12,22:55:00,46,111.8,93.62,21.44,24.95,49.59
Elm St,2025-01-29,17:06:00,124,77.29,80.21,25.72,17.31,38.35
Broadway,2025-01-03,01:23:00,388,12.78,154.63,20.0,35.5,45.12
Main St,2025-01-21,09:03:00,19,145.68,39.67,74.58,27.97,39.68
5th Ave,2025-01-08,01:05:00,100,16.45,29.24,29.69,37.57,48.11
Elm St,2025-01-02,01:42:00,497,140.65,111.8,44.84,39.95,51.03
Broadway,2025-01-22,00:01:00,185,24.55,104.78,19.06,36.35,57.81
Main St,2025-01-12,18:46:00,420,98.88,76.16,25.6,28.82,23.35
Park Ave,2025-01-30,06:25:00,367,45.58,102.48,35.13,33.31,52.43
5th Ave,2025-01-13,10:19:00,227,5.01,122.06,94.65,32.13,29.52
5th Ave,2025-01-13,22:29:00,457,142.72,94.32,62.6,18.75,33.95
Broadway,2025-01-07,22:54:00,297,89.54,71.39,38.12,24.44,30.88
Park Ave,2025-01-13,04:39:00,94,113.57,197.56,72.18,33.28,27.05
Park Ave,2025-01-01,12:43:00,79,104.98,198.24,56.5,27.78,61.11
Broadway,2025-01-21,12:04:00,92,87.58,196.01,47.3,17.98,20.99
5th Ave,2025-01-24,14:17:00,301,12.49,27.83,12.3,17.82,57.03
Park Ave,2025-01-03,07:10:00,33,90.81,29.59,5.78,24.62,57.52
Main St,2025-01-23,19:17:00,468,80.79,15.64,27.37,29.29,35.42
Broadway,2025-01-25,14:53:00,267,119.84,146.69,76.68,16.61,44.53
Elm St,2025-01-28,02:57:00,423,90.38,145.9,60.18,18.05,64.42
Broadway,2025-01-23,19:02:00,55,35.58,109.99,73.2,23.88,57.21
Main St,2025-01-18,12:54:00,238,44.49,60.45,32.76,28.93,79.82
Park Ave,2025-01-28,19:37:00,432,49.04,47.87,67.79,37.91,49.03
Elm St,2025-01-28,04:39:00,347,118.94,178.58,17.01,24.53,41.0
Park Ave,2025-01-08,19:40:00,370,13.76,23.69,37.49,35.38,36.72
Broadway,2025-01-23,10:13:00,431,137.89,120.51,49.16,39.17,75.68
5th Ave,2025-01-26,14:19:00,256,130.36,158.26,56.65,39.58,46.34
Main St,2025-01-01,20:00:00,442,30.43,112.95,37.59,25.39,59.4
Elm St,2025-01-06,17:01:00,150,14.22,124.19,82.93,22.37,60.54
Broadway,2025-01-18,05:11:00,286,43.45,28.77,91.16,32.29,41.47
Park Ave,2025-01-08,18:21:00,482,109.22,94.85,19.11,36.59,58.51
Elm St,2025-01-06,13:55:00,12,95.73,195.86,57.3,28.27,79.81
Park Ave,2025-01-11,07:46:00,77,134.84,146.76,21.62,15.09,74.49
Elm St,2025-01-01,04:19:00,185,44.95,31.97,74.35,37.59,78.11
Main St,2025-01-14,03:10:00,338,148.86,146.42,64.98,30.04,79.91
Broadway,2025-01-20,02:07:00,34,130.45,149.96,16.41,29.08,36.93
Park Ave,2025-01-06,15:34:00,435,51.13,158.17,12.72,30.44,59.98
Park Ave,2025-01-28,09:20:00,329,26.41,32.16,33.08,38.03,30.59
Park Ave,2025-01-09,03:05:00,410,70.56,151.64,39.31,26.63,44.8
5th Ave,2025-01-03,05:02:00,332,74.07,42.86,9.41,18.41,56.08
Park Ave,2025-01-30,10:02:00,495,121.31,68.64,67.52,34.12,46.32
Broadway,2025-01-23,14:01:00,1,24.82,141.6,58.82,28.23,26.13
Park Ave,2025-01-10,15:00:00,204,77.9,27.48,82.12,24.41,52.81
Main St,2025-01-18,03:09:00,112,83.03,140.29,67.59,25.45,46.36
Broadway,2025-01-18,16:07:00,163,91.02,56.27,76.75,20.6,29.43
Elm St,2025-01-26,12:44:00,232,10.54,63.03,95.55,16.16,77.4
Park Ave,2025-01-02,04:51:00,48,80.64,84.59,63.93,28.57,29.07
Main St,2025-01-15,05:27:00,198,144.03,30.71,17.04,32.49,29.58
5th Ave,2025-01-17,18:36:00,213,47.79,153.39,35.0,21.99,71.65
Park Ave,2025-01-23,14:52:00,268,82.72,91.79,11.18,22.3,38.14
Elm St,2025-01-11,00:41:00,286,144.65,144.91,75.88,29.41,28.59
5th Ave,2025-01-28,13:27:00,461,81.65,55.92,55.52,33.68,35.38
Broadway,2025-01-09,17:48:00,155,100.22,32.98,45.67,31.09,26.33
Elm St,2025-01-04,09:44:00,115,70.81,130.04,67.58,39.36,66.19
Park Ave,2025-01-17,02:00:00,445,143.94,24.4,42.43,29.36,59.15
Main St,2025-01-11,23:01:00,465,144.15,29.49,94.82,39.99,47.9
Park Ave,2025-01-17,07:12:00,111,10.17,79.73,76.78,17.81,48.37
Broadway,2025-01-03,11:35:00,227,135.17,83.65,79.94,27.38,76.09
Main St,2025-01-28,14:11:00,7,69.22,117.56,55.71,31.77,38.51
Broadway,2025-01-11,17:07:00,189,128.43,69.55,95.75,31.0,58.76
Park Ave,2025-01-29,20:42:00,273,53.24,116.03,63.02,17.91,58.27
Park Ave,2025-01-28,10:45:00,257,40.15,174.84,15.35,38.85,62.32
Park Ave,2025-01-10,19:46:00,449,78.58,47.78,8.94,16.13,64.79
5th Ave,2025-01-12,15:22:00,148,94.64,189.81,67.99,26.27,28.64
5th Ave,2025-01-05,23:02:00,61,102.13,70.25,82.72,28.77,77.85
5th Ave,2025-01-05,17:42:00,75,97.24,163.34,48.38,36.3,21.02
5th Ave,2025-01-13,23:30:00,51,42.51,25.93,22.83,35.79,72.64
Broadway,2025-01-06,11:32:00,347,67.91,191.85,98.59,17.98,20.06
Park Ave,2025-01-14,03:08:00,224,123.21,86.71,16.0,18.03,65.72
Broadway,2025-01-25,15:01:00,497,87.22,21.01,31.03,27.94,21.35
Broadway,2025-01-15,15:42:00,18,20.21,16.83,52.17,31.14,44.44
Park Ave,2025-01-15,19:36:00,22,19.79,140.17,41.36,30.77,71.18
Elm St,2025-01-23,13:27:00,213,130.63,118.21,23.56,29.08,41.76
Elm St,2025-01-28,22:09:00,203,22.4,150.27,47.67,34.84,29.5
Main St,2025-01-24,06:09:00,208,43.97,89.86,62.72,15.83,51.32
Elm St,2025-01-15,10:13:00,435,83.44,80.84,30.82,25.12,24.97
Broadway,2025-01-21,01:04:00,185,73.35,85.03,44.38,28.25,70.11
Park Ave,2025-01-28,17:29:00,419,86.94,188.68,92.21,36.25,45.75
Park Ave,2025-01-12,21:31:00,65,24.21,18.59,40.07,38.54,35.86
Park Ave,2025-01-27,03:38:00,299,25.88,93.11,29.77,18.85,63.16
Park Ave,2025-01-21,15:31:00,297,139.53,188.89,62.27,36.36,74.21
5th Ave,2025-01-02,22:09:00,65,68.35,144.51,21.64,34.07,45.11
Elm St,2025-01-09,09:34:00,156,123.58,186.09,5.1,32.87,53.35
Main St,2025-01-21,21:53:00,47,11.0,143.71,72.58,39.51,46.55
Main St,2025-01-11,23:20:00,372,86.4,181.9,79.34,37.42,31.97
5th Ave,2025-01-02,05:20:00,238,141.84,125.42,43.43,39.31,77.76
Main St,2025-01-04,02:33:00,85,10.19,97.96,35.1,25.25,76.73
Main St,2025-01-02,07:01:00,370,132.51,104.92,91.85,29.39,22.62
Elm St,2025-01-08,11:54:00,234,85.49,114.83,25.06,21.41,73.41
5th Ave,2025-01-06,20:24:00,265,94.83,24.65,42.82,32.04,32.49
Broadway,2025-01-28,23:58:00,297,19.7,79.61,11.67,36.68,47.73
Broadway,2025-01-12,05:15:00,147,74.01,118.62,95.93,33.95,31.25
Park Ave,2025-01-08,10:52:00,160,84.05,31.35,58.11,31.3,55.6
Broadway,2025-01-14,01:26:00,466,32.81,182.52,88.28,35.63,38.34
Park Ave,2025-01-28,10:59:00,206,64.54,176.11,10.85,37.92,64.81
Park Ave,2025-01-24,05:57:00,28,61.32,119.8,48.32,35.31,47.02
5th Ave,2025-01-09,18:14:00,400,97.87,163.38,67.15,22.07,79.45
Elm St,2025-01-21,02:10:00,419,29.5,44.89,68.75,31.17,23.18
5th Ave,2025-01-21,02:46:00,490,138.99,90.43,67.6,39.59,41.31
5th Ave,2025-01-29,03:13:00,62,30.08,196.38,47.82,32.91,72.34
Park Ave,2025-01-21,12:12:00,70,106.1,93.3,95.86,25.88,47.8
Broadway,2025-01-26,02:46:00,435,145.9,17.38,52.48,29.92,27.99
5th Ave,2025-01-08,00:55:00,105,18.41,139.99,52.03,16.83,30.04
Park Ave,2025-01-03,21:17:00,426,114.1,176.98,5.53,20.59,76.45
5th Ave,2025-01-02,13:02:00,187,138.74,15.9,69.27,22.26,50.3
Elm St,2025-01-23,10:01:00,277,21.96,120.94,48.52,35.28,21.86
Main St,2025-01-04,01:59:00,233,62.31,88.46,9.6,21.45,54.84
Elm St,2025-01-05,15:43:00,410,59.49,160.46,50.35,36.02,37.0
5th Ave,2025-01-09,09:00:00,388,75.73,161.73,8.55,19.71,74.05
Main St,2025-01-26,08:26:00,210,90.57,45.03,22.26,22.3,34.38
Park Ave,2025-01-07,22:20:00,388,83.11,113.25,58.69,17.59,22.29
Elm St,2025-01-23,07:45:00,434,31.92,25.82,54.33,19.22,27.96
Main St,2025-01-01,07:22:00,252,54.1,164.16,54.86,28.5,75.87
5th Ave,2025-01-19,22:16:00,200,87.7,27.99,32.98,25.47,61.04
5th Ave,2025-01-04,21:56:00,149,21.92,99.49,29.31,24.78,71.65
Broadway,2025-01-27,04:07:00,408,72.99,154.65,60.74,30.29,70.37
5th Ave,2025-01-04,17:19:00,22,94.59,81.91,33.92,34.02,45.14
Park Ave,2025-01-06,11:10:00,230,86.71,32.03,67.3,29.63,32.14
Elm St,2025-01-06,05:53:00,46,52.01,127.73,66.12,29.24,74.15
5th Ave,2025-01-19,07:15:00,122,86.23,67.01,52.74,26.12,36.31
5th Ave,2025-01-29,22:01:00,201,44.46,113.04,88.61,18.62,64.06
Park Ave,2025-01-29,20:16:00,269,140.33,36.5,38.54,36.32,38.44
5th Ave,2025-01-27,07:21:00,289,14.14,160.72,88.56,36.27,73.31
Park Ave,2025-01-20,06:43:00,458,49.18,143.85,24.05,21.28,65.79
Main St,2025-01-14,12:37:00,113,106.41,93.65,16.75,27.9,41.08
5th Ave,2025-01-14,00:49:00,101,130.47,156.99,80.75,32.25,32.23
Park Ave,2025-01-17,16:34:00,273,55.68,145.58,65.64,37.43,51.34
5th Ave,2025-01-11,13:49:00,73,111.89,46.14,67.89,21.53,28.66
Park Ave,2025-01-12,22:50:00,418,62.63,110.31,22.18,22.26,21.96
Elm St,2025-01-11,07:57:00,53,28.32,16.11,95.43,19.2,76.05
Broadway,2025-01-02,05:23:00,496,36.74,55.82,47.89,19.92,26.3
5th Ave,2025-01-18,15:37:00,272,114.96,161.86,98.93,22.42,53.35
Main St,2025-01-30,02:49:00,159,82.2,151.06,20.08,39.35,31.21
Elm St,2025-01-21,00:53:00,132,21.59,91.43,81.99,32.13,26.04
Elm St,2025-01-06,11:35:00,350,43.74,24.46,83.26,31.56,56.84
Elm St,2025-01-09,20:32:00,360,142.72,54.04,63.26,16.53,33.48
Park Ave,2025-01-09,05:23:00,73,40.15,109.01,8.98,37.15,55.7
5th Ave,2025-01-15,06:45:00,160,90.11,185.84,5.23,22.26,64.46
Elm St,2025-01-02,09:19:00,101,140.67,92.64,58.78,21.11,47.73
Elm St,2025-01-14,07:48:00,485,135.28,145.58,84.84,37.89,51.86
5th Ave,2025-01-13,23:12:00,440,137.08,192.12,77.01,19.56,67.2
5th Ave,2025-01-29,13:31:00,253,98.15,50.16,87.97,36.85,25.33
Park Ave,2025-01-19,05:13:00,136,65.48,105.69,66.8,28.15,54.66
Main St,2025-01-26,18:55:00,58,34.77,177.39,18.54,34.05,75.51
5th Ave,2025-01-25,06:10:00,411,86.51,124.98,87.19,38.04,63.18
Elm St,2025-01-16,11:54:00,303,77.32,175.35,17.12,18.1,26.93
5th Ave,2025-01-11,19:27:00,404,121.73,138.72,21.59,34.82,65.03
Broadway,2025-01-12,18:17:00,467,87.32,63.82,97.76,39.54,75.78
Elm St,2025-01-10,12:04:00,296,103.25,94.11,58.15,18.68,69.8
Park Ave,2025-01-04,06:42:00,457,95.75,161.66,20.77,26.67,51.31
Park Ave,2025-01-10,14:46:00,68,77.26,155.27,97.5,18.08,79.73
Broadway,2025-01-16,19:54:00,64,136.06,155.67,57.34,21.97,61.41
